number,codepoint,utf,shortname
1,U+1F600,😀,:grinning-face:
2,U+1F601,😁,:beaming-face-with-smiling-eyes:
3,U+1F602,😂,:face-with-tears-of-joy:
4,U+1F923,🤣,:rolling-on-the-floor-laughing:
5,U+1F603,😃,:grinning-face-with-big-eyes:
6,U+1F604,😄,:grinning-face-with-smiling-eyes:
7,U+1F605,😅,:grinning-face-with-sweat:
8,U+1F606,😆,:grinning-squinting-face:
9,U+1F609,😉,:winking-face:
10,U+1F60A,😊,:smiling-face-with-smiling-eyes:
11,U+1F60B,😋,:face-savoring-food:
12,U+1F60E,😎,:smiling-face-with-sunglasses:
13,U+1F60D,😍,:smiling-face-with-heart-eyes:
14,U+1F618,😘,:face-blowing-a-kiss:
15,U+1F970,🥰,:smiling-face-with-3-hearts:
16,U+1F617,😗,:kissing-face:
17,U+1F619,😙,:kissing-face-with-smiling-eyes:
18,U+1F61A,😚,:kissing-face-with-closed-eyes:
19,U+263A,😊,:smiling-face:
20,U+1F642,🙂,:slightly-smiling-face:
21,U+1F917,🤗,:hugging-face:
22,U+1F929,🤩,:star-struck:
23,U+1F914,🤔,:thinking-face:
24,U+1F928,🤨,:face-with-raised-eyebrow:
25,U+1F610,😐,:neutral-face:
26,U+1F611,😑,:expressionless-face:
27,U+1F636,😶,:face-without-mouth:
28,U+1F644,🙄,:face-with-rolling-eyes:
29,U+1F60F,😏,:smirking-face:
30,U+1F623,😣,:persevering-face:
31,U+1F625,😥,:sad-but-relieved-face:
32,U+1F62E,😮,:face-with-open-mouth:
33,U+1F910,🤐,:zipper-mouth-face:
34,U+1F62F,😯,:hushed-face:
35,U+1F62A,😪,:sleepy-face:
36,U+1F62B,😫,:tired-face:
37,U+1F634,😴,:sleeping-face:
38,U+1F60C,😌,:relieved-face:
39,U+1F61B,😛,:face-with-tongue:
40,U+1F61C,😜,:winking-face-with-tongue:
41,U+1F61D,😝,:squinting-face-with-tongue:
42,U+1F924,🤤,:drooling-face:
43,U+1F612,😒,:unamused-face:
44,U+1F613,😓,:downcast-face-with-sweat:
45,U+1F614,😔,:pensive-face:
46,U+1F615,😕,:confused-face:
47,U+1F643,🙃,:upside-down-face:
48,U+1F911,🤑,:money-mouth-face:
49,U+1F632,😲,:astonished-face:
50,U+2639,☹️,:frowning-face:
51,U+1F641,🙁,:slightly-frowning-face:
52,U+1F616,😖,:confounded-face:
53,U+1F61E,😞,:disappointed-face:
54,U+1F61F,😟,:worried-face:
55,U+1F624,😤,:face-with-steam-from-nose:
56,U+1F622,😢,:crying-face:
57,U+1F62D,😭,:loudly-crying-face:
58,U+1F626,😦,:frowning-face-with-open-mouth:
59,U+1F627,😧,:anguished-face:
60,U+1F628,😨,:fearful-face:
61,U+1F629,😩,:weary-face:
62,U+1F92F,🤯,:exploding-head:
63,U+1F62C,😬,:grimacing-face:
64,U+1F630,😰,:anxious-face-with-sweat:
65,U+1F631,😱,:face-screaming-in-fear:
66,U+1F975,🥵,:hot-face:
67,U+1F976,🥶,:cold-face:
68,U+1F633,😳,:flushed-face:
69,U+1F92A,🤪,:zany-face:
70,U+1F635,😵,:dizzy-face:
71,U+1F621,😡,:pouting-face:
72,U+1F620,😠,:angry-face:
73,U+1F92C,🤬,:face-with-symbols-on-mouth:
74,U+1F637,😷,:face-with-medical-mask:
75,U+1F912,🤒,:face-with-thermometer:
76,U+1F915,🤕,:face-with-head-bandage:
77,U+1F922,🤢,:nauseated-face:
78,U+1F92E,🤮,:face-vomiting:
79,U+1F927,🤧,:sneezing-face:
80,U+1F607,😇,:smiling-face-with-halo:
81,U+1F920,🤠,:cowboy-hat-face:
82,U+1F973,🥳,:partying-face:
83,U+1F974,🥴,:woozy-face:
84,U+1F97A,🥺,:pleading-face:
85,U+1F925,🤥,:lying-face:
86,U+1F92B,🤫,:shushing-face:
87,U+1F92D,🤭,:face-with-hand-over-mouth:
88,U+1F9D0,🧐,:face-with-monocle:
89,U+1F913,🤓,:nerd-face:
90,U+1F608,😈,:smiling-face-with-horns:
91,U+1F47F,👿,:angry-face-with-horns:
92,U+1F921,🤡,:clown-face:
93,U+1F479,👹,:ogre:
94,U+1F47A,👺,:goblin:
95,U+1F480,💀,:skull:
96,U+2620,☠,:skull-and-crossbones:
97,U+1F47B,👻,:ghost:
98,U+1F47D,👽,:alien:
99,U+1F47E,👾,:alien-monster:
100,U+1F916,🤖,:robot-face:
101,U+1F4A9,💩,:pile-of-poo:
102,U+1F63A,😺,:grinning-cat-face:
103,U+1F638,😸,:grinning-cat-face-with-smiling-eyes:
104,U+1F639,😹,:cat-face-with-tears-of-joy:
105,U+1F63B,😻,:smiling-cat-face-with-heart-eyes:
106,U+1F63C,😼,:cat-face-with-wry-smile:
107,U+1F63D,😽,:kissing-cat-face:
108,U+1F640,🙀,:weary-cat-face:
109,U+1F63F,😿,:crying-cat-face:
110,U+1F63E,😾,:pouting-cat-face:
111,U+1F648,🙈,:see-no-evil-monkey:
112,U+1F649,🙉,:hear-no-evil-monkey:
113,U+1F64A,🙊,:speak-no-evil-monkey:
114,U+1F476,👶,:baby:
115,U+1F9D2,🧒,:child:
116,U+1F466,👦,:boy:
117,U+1F467,👧,:girl:
118,U+1F9D1,🧑,:person:
119,U+1F471,👱,:person;-blond-hair:
120,U+1F468,👨,:man:
121,U+1F471 U+200D U+2642 U+FE0F,👱‍♂️,:man;-blond-hair:
122,U+1F468 U+200D U+1F9B0,👨‍🦰,:man;-red-hair:
